id,station,gridblock,timestamp,latitude,longitude,polyCoords,timeOfDay,day,temp,windSpeed,windDirection,icon,shortForecast,longForecast
10,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Wednesday,3/21/2018,41,10 mph,N,"https://api.weather.gov/icons/land/day/snow,60/snow,50?size=medium",Rain And Snow Likely,"Rain and snow likely. Mostly cloudy, with a high near 41. Chance of precipitation is 60%."
11,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Wednesday Night,3/21/2018,32,9 mph,N,"https://api.weather.gov/icons/land/night/snow,50/snow,30?size=medium",Chance Rain And Snow then Chance Snow Showers,"A chance of rain and snow before 8pm, then a chance of snow showers. Mostly cloudy, with a low around 32. Chance of precipitation is 50%."
12,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Thursday,3/22/2018,45,8 mph,NW,"https://api.weather.gov/icons/land/day/snow,30/snow?size=medium",Chance Snow Showers,"A chance of snow showers before 8am, then a slight chance of rain and snow showers. Partly sunny, with a high near 45. Chance of precipitation is 30%."
13,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Thursday Night,3/22/2018,32,8 mph,NW,https://api.weather.gov/icons/land/night/rain_showers/bkn?size=medium,Slight Chance Rain Showers then Mostly Cloudy,"A slight chance of rain showers before 8pm. Mostly cloudy, with a low around 32."
14,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",This Afternoon,3/16/2018,45,18 mph,NW,https://api.weather.gov/icons/land/day/few?size=medium,Sunny,"Sunny, with a high near 45. Northwest wind around 18 mph, with gusts as high as 31 mph. Little or no snow accumulation expected."
15,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Tonight,3/16/2018,28,5 to 18 mph,W,https://api.weather.gov/icons/land/night/few?size=medium,Mostly Clear,"Mostly clear, with a low around 28. West wind 5 to 18 mph, with gusts as high as 31 mph."
16,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Saturday,3/17/2018,40,5 to 8 mph,W,"https://api.weather.gov/icons/land/day/sleet,50/sleet,70?size=medium",Chance Sleet,"A chance of sleet and rain and snow likely between 11am and 5pm, then a chance of sleet and a chance of rain and snow. Mostly cloudy, with a high near 40. West wind 5 to 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
17,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Saturday Night,3/17/2018,28,3 to 7 mph,NW,"https://api.weather.gov/icons/land/night/sleet,30/sct?size=medium",Chance Sleet then Partly Cloudy,"A chance of sleet and a chance of rain and snow before 8pm. Partly cloudy, with a low around 28. Northwest wind 3 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
18,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Sunday,3/18/2018,51,2 to 7 mph,NW,https://api.weather.gov/icons/land/day/few?size=medium,Sunny,"Sunny, with a high near 51. Northwest wind 2 to 7 mph."
19,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Sunday Night,3/18/2018,31,2 to 7 mph,W,https://api.weather.gov/icons/land/night/few?size=medium,Mostly Clear,"Mostly clear, with a low around 31."
20,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Monday,3/19/2018,50,3 mph,NE,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 50."
21,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Monday Night,3/19/2018,35,3 to 8 mph,E,"https://api.weather.gov/icons/land/night/rain,40/snow,40?size=medium",Chance Light Rain then Chance Rain And Snow,"A chance of rain between 8pm and 2am, then a chance of rain and snow. Mostly cloudy, with a low around 35. Chance of precipitation is 40%."
22,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Tuesday,3/20/2018,42,7 to 13 mph,NE,"https://api.weather.gov/icons/land/day/snow,80?size=medium",Rain And Snow,"Rain and snow. Cloudy, with a high near 42. Chance of precipitation is 80%."
23,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Tuesday Night,3/20/2018,32,13 mph,NE,"https://api.weather.gov/icons/land/night/snow,80/snow,70?size=medium",Rain And Snow,"Rain and snow. Cloudy, with a low around 32. Chance of precipitation is 80%."
24,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Wednesday,3/21/2018,40,10 mph,N,"https://api.weather.gov/icons/land/day/snow,70/snow,60?size=medium",Rain And Snow Likely,"Rain and snow likely. Mostly cloudy, with a high near 40. Chance of precipitation is 70%."
25,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Wednesday Night,3/21/2018,30,9 mph,N,"https://api.weather.gov/icons/land/night/snow,60/snow,30?size=medium",Rain And Snow Likely then Chance Snow Showers,"Rain and snow likely before 8pm, then a chance of snow showers. Mostly cloudy, with a low around 30. Chance of precipitation is 60%."
26,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Thursday,3/22/2018,45,9 mph,NW,"https://api.weather.gov/icons/land/day/snow,30/snow?size=medium",Chance Snow Showers,"A chance of snow showers before 8am, then a slight chance of rain and snow showers. Partly sunny, with a high near 45. Chance of precipitation is 30%."
27,LWX,"100,66",2018-03-16:12:00:00,38.7887935,-76.92711528,"[[38.8012465549, -76.939310831595], [38.779282945558, -76.943086661042], [38.776338885682, -76.914922607152], [38.798302178233, -76.91114102873], [38.8012465549, -76.939310831595]]",Thursday Night,3/22/2018,30,9 mph,NW,https://api.weather.gov/icons/land/night/rain_showers/bkn?size=medium,Slight Chance Rain Showers then Mostly Cloudy,"A slight chance of rain showers before 8pm. Mostly cloudy, with a low around 30."
28,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",This Afternoon,3/16/2018,44,15 to 18 mph,NW,https://api.weather.gov/icons/land/day/few?size=medium,Sunny,"Sunny, with a high near 44. Northwest wind 15 to 18 mph, with gusts as high as 31 mph. Little or no snow accumulation expected."
29,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Tonight,3/16/2018,28,5 to 17 mph,NW,https://api.weather.gov/icons/land/night/few?size=medium,Mostly Clear,"Mostly clear, with a low around 28. Northwest wind 5 to 17 mph, with gusts as high as 31 mph."
30,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Saturday,3/17/2018,41,5 to 9 mph,W,"https://api.weather.gov/icons/land/day/sleet,40/sleet,70?size=medium",Chance Sleet,"A chance of sleet and rain and snow likely between 11am and 5pm, then a chance of sleet and a chance of rain and snow. Partly sunny, with a high near 41. West wind 5 to 9 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
31,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Saturday Night,3/17/2018,29,3 to 7 mph,NW,"https://api.weather.gov/icons/land/night/sleet,30/sct?size=medium",Chance Sleet then Partly Cloudy,"A chance of sleet and a chance of rain and snow before 8pm. Partly cloudy, with a low around 29. Northwest wind 3 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
32,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Sunday,3/18/2018,52,2 to 7 mph,NW,https://api.weather.gov/icons/land/day/few?size=medium,Sunny,"Sunny, with a high near 52. Northwest wind 2 to 7 mph."
33,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Sunday Night,3/18/2018,31,2 to 7 mph,W,https://api.weather.gov/icons/land/night/few?size=medium,Mostly Clear,"Mostly clear, with a low around 31."
34,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Monday,3/19/2018,50,3 mph,NE,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 50."
35,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Monday Night,3/19/2018,35,3 to 7 mph,E,"https://api.weather.gov/icons/land/night/rain,40/snow,40?size=medium",Chance Light Rain then Chance Rain And Snow,"A chance of rain between 8pm and 2am, then a chance of rain and snow. Mostly cloudy, with a low around 35. Chance of precipitation is 40%."
36,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Tuesday,3/20/2018,42,6 to 12 mph,NE,"https://api.weather.gov/icons/land/day/snow,80?size=medium",Rain And Snow,"Rain and snow. Cloudy, with a high near 42. Chance of precipitation is 80%."
37,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Tuesday Night,3/20/2018,33,12 mph,NE,"https://api.weather.gov/icons/land/night/snow,80/snow,70?size=medium",Rain And Snow,"Rain and snow. Cloudy, with a low around 33. Chance of precipitation is 80%."
38,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Wednesday,3/21/2018,40,9 mph,N,"https://api.weather.gov/icons/land/day/snow,70/snow,60?size=medium",Rain And Snow Likely,"Rain and snow likely. Mostly cloudy, with a high near 40. Chance of precipitation is 70%."
39,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Wednesday Night,3/21/2018,30,8 mph,N,"https://api.weather.gov/icons/land/night/snow,60/snow,30?size=medium",Rain And Snow Likely then Chance Snow Showers,"Rain and snow likely before 8pm, then a chance of snow showers. Mostly cloudy, with a low around 30. Chance of precipitation is 60%."
40,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Thursday,3/22/2018,44,8 mph,NW,"https://api.weather.gov/icons/land/day/snow,30/snow?size=medium",Chance Snow Showers,"A chance of snow showers before 8am, then a slight chance of rain and snow showers. Partly sunny, with a high near 44. Chance of precipitation is 30%."
41,LWX,"100,70",2018-03-16:12:00:00,38.87660579,-76.91199189,"[[38.889055947598, -76.924195620547], [38.867099389715, -76.927978097959], [38.864154065031, -76.89979104071], [38.886110307429, -76.896002804553], [38.889055947598, -76.924195620547]]",Thursday Night,3/22/2018,31,8 mph,NW,https://api.weather.gov/icons/land/night/rain_showers/bkn?size=medium,Slight Chance Rain Showers then Mostly Cloudy,"A slight chance of rain showers before 8pm. Mostly cloudy, with a low around 31."
42,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",This Afternoon,3/16/2018,41,17 to 21 mph,NW,https://api.weather.gov/icons/land/day/wind_sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 41. Northwest wind 17 to 21 mph, with gusts as high as 35 mph. New snow accumulation of less than half an inch possible."
43,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Tonight,3/16/2018,25,7 to 20 mph,NW,https://api.weather.gov/icons/land/night/few?size=medium,Mostly Clear,"Mostly clear, with a low around 25. Northwest wind 7 to 20 mph, with gusts as high as 33 mph."
44,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Saturday,3/17/2018,40,7 to 10 mph,W,"https://api.weather.gov/icons/land/day/bkn/sleet,40?size=medium",Partly Sunny then Chance Sleet,"A chance of sleet and a chance of rain and snow between 2pm and 5pm. Partly sunny, with a high near 40. West wind 7 to 10 mph. Chance of precipitation is 40%."
45,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Saturday Night,3/17/2018,25,3 to 9 mph,NW,https://api.weather.gov/icons/land/night/sct?size=medium,Partly Cloudy,"Partly cloudy, with a low around 25. Northwest wind 3 to 9 mph."
46,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Sunday,3/18/2018,49,3 to 9 mph,NW,https://api.weather.gov/icons/land/day/few?size=medium,Sunny,"Sunny, with a high near 49. Northwest wind 3 to 9 mph."
47,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Sunday Night,3/18/2018,28,3 to 9 mph,NW,https://api.weather.gov/icons/land/night/few?size=medium,Mostly Clear,"Mostly clear, with a low around 28."
48,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Monday,3/19/2018,47,5 mph,NE,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 47."
49,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Monday Night,3/19/2018,31,2 to 7 mph,E,https://api.weather.gov/icons/land/night/snow?size=medium,Slight Chance Rain And Snow,"A slight chance of rain and snow after 8pm. Mostly cloudy, with a low around 31."
50,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Tuesday,3/20/2018,39,6 to 12 mph,NE,"https://api.weather.gov/icons/land/day/snow,80?size=medium",Rain And Snow,"A slight chance of snow before 8am, then rain and snow. Cloudy, with a high near 39. Chance of precipitation is 80%."
51,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Tuesday Night,3/20/2018,29,12 mph,NE,"https://api.weather.gov/icons/land/night/snow,80/snow,60?size=medium",Rain And Snow,"Rain and snow. Cloudy, with a low around 29. Chance of precipitation is 80%."
52,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Wednesday,3/21/2018,38,10 mph,N,"https://api.weather.gov/icons/land/day/snow,60?size=medium",Light Snow Likely,"Snow likely before 8am, then rain and snow likely. Mostly cloudy, with a high near 38. Chance of precipitation is 60%."
53,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Wednesday Night,3/21/2018,28,9 mph,N,"https://api.weather.gov/icons/land/night/snow,60/snow,30?size=medium",Rain And Snow Likely then Chance Snow Showers,"Rain and snow likely before 8pm, then a chance of snow showers. Mostly cloudy, with a low around 28. Chance of precipitation is 60%."
54,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Thursday,3/22/2018,43,9 mph,NW,"https://api.weather.gov/icons/land/day/snow,30/snow?size=medium",Chance Snow Showers,"A chance of snow showers before 8am, then a slight chance of rain and snow showers. Partly sunny, with a high near 43. Chance of precipitation is 30%."
55,LWX,"100,93",2018-03-16:12:00:00,39.38080495,-76.82454207,"[[39.393228118652, -76.836794728704], [39.371332690354, -76.840612365415], [39.368380196789, -76.812292318092], [39.390275317415, -76.808468871162], [39.393228118652, -76.836794728704]]",Thursday Night,3/22/2018,29,9 mph,NW,https://api.weather.gov/icons/land/night/snow/sct?size=medium,Slight Chance Rain And Snow Showers then Partly Cloudy,"A slight chance of rain and snow showers before 8pm. Partly cloudy, with a low around 29."
56,LWX,"100,97",2018-03-16:12:00:00,39.468367,-76.80924712,"[[39.480784961029, -76.821508396989], [39.458901171046, -76.825332055584], [39.455947448794, -76.796988753069], [39.477830932479, -76.793159275452], [39.480784961029, -76.821508396989]]",This Afternoon,3/16/2018,41,18 to 22 mph,NW,https://api.weather.gov/icons/land/day/wind_sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 41. Northwest wind 18 to 22 mph, with gusts as high as 37 mph."
57,LWX,"100,97",2018-03-16:12:00:00,39.468367,-76.80924712,"[[39.480784961029, -76.821508396989], [39.458901171046, -76.825332055584], [39.455947448794, -76.796988753069], [39.477830932479, -76.793159275452], [39.480784961029, -76.821508396989]]",Tonight,3/16/2018,25,7 to 21 mph,NW,https://api.weather.gov/icons/land/night/wind_few?size=medium,Mostly Clear,"Mostly clear, with a low around 25. Northwest wind 7 to 21 mph, with gusts as high as 35 mph."
58,LWX,"100,97",2018-03-16:12:00:00,39.468367,-76.80924712,"[[39.480784961029, -76.821508396989], [39.458901171046, -76.825332055584], [39.455947448794, -76.796988753069], [39.477830932479, -76.793159275452], [39.480784961029, -76.821508396989]]",Saturday,3/17/2018,39,7 to 10 mph,W,"https://api.weather.gov/icons/land/day/bkn/sleet,30?size=medium",Partly Sunny then Chance Sleet,"A chance of sleet and a chance of rain and snow between 2pm and 5pm. Partly sunny, with a high near 39. West wind 7 to 10 mph. Chance of precipitation is 30%."
